Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
10000;1000;20;30;30;25;0.75;1;normal;Model4;NA;NA;FALSE;5.31;5.39;5.23;5.41;5.03;5.41;8.43;3.93
10000;1000;20;30;30;25;0.75;1;normal;Model6;NA;NA;FALSE;95.34;95.38;97.83;98.67;97.69;98.59;99.03;97.53
10000;1000;20;30;30;25;0.5;1;normal;Model2;NA;NA;FALSE;52.66;84.68;70.92;98.38;67.88;98.49;82.27;97.92
10000;1000;20;30;30;25;0.75;1;lognormal;Model4;NA;NA;FALSE;5.83;5.1;5.44;5.36;5.1;5.42;8.08;4.7
10000;1000;20;30;30;25;0.75;1;mixed;Model7;NA;NA;FALSE;44.03;99.59;87.03;100;84.66;100;97.23;100
10000;1000;20;30;30;25;0.5;1;mixed;Model4;NA;NA;FALSE;5.02;4.94;5.31;5.66;5.01;5.4;9.42;4.32
10000;1000;20;30;30;25;0.75;1;lognormal;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;20;30;30;25;0.75;1;lognormal;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;20;30;30;25;0.75;1;mixed;Model6;NA;NA;FALSE;77.05;81.65;95.86;95.66;95.24;95.47;98.5;92.82
10000;1000;20;30;30;25;0.5;1;lognormal;Model2;NA;NA;FALSE;87.74;91.41;97.92;99.2;97.32;99.2;98.9;99.1
10000;1000;20;30;30;25;0.75;1;mixed;Model5;NA;NA;FALSE;63.78;71.63;88.73;89.7;87.73;89.41;95.18;85.31
10000;1000;20;30;30;25;0.75;1;normal;Model2;NA;NA;FALSE;93.68;99.66;95.28;99.95;93.67;99.99;98.22;99.95
10000;1000;20;30;30;25;0.75;1;lognormal;Model1;NA;NA;FALSE;5.85;5.14;5.27;5.44;4.69;5.37;8.05;4.72
10000;1000;20;30;30;25;0.5;1;normal;Model6;NA;NA;FALSE;68.97;67.29;86.11;87.7;85.56;87.86;91.29;83.22
10000;1000;20;30;30;25;0.5;1;mixed;Model6;NA;NA;FALSE;71.61;66.23;94.43;91.41;94.03;91.06;97.18;88.16
10000;1000;20;30;30;25;0.5;1;normal;Model4;NA;NA;FALSE;5.14;5.59;5.13;5.34;5.06;5.36;8.16;3.84
10000;1000;20;30;30;25;0.5;1;mixed;Model1;NA;NA;FALSE;5.4;5.61;6.38;6.78;5.79;6.37;10.89;5.48
10000;1000;20;30;30;25;0.75;1;mixed;Model2;NA;NA;FALSE;41.62;78.65;71.5;95.34;66.98;95.54;87.72;93.74
10000;1000;20;30;30;25;0.75;1;lognormal;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;20;30;30;25;0.75;1;mixed;Model3;NA;NA;FALSE;99.8;100;100;100;100;100;100;100
10000;1000;20;30;30;25;0.75;1;normal;Model7;NA;NA;FALSE;99.96;100;100;100;100;100;100;100
10000;1000;20;30;30;25;0.75;1;lognormal;Model2;NA;NA;FALSE;99.75;99.8;99.95;99.96;99.91;99.97;99.98;99.96
10000;1000;20;30;30;25;0.5;1;mixed;Model2;NA;NA;FALSE;37.53;60.44;68.77;91;64.34;90.97;81.29;89.2
10000;1000;20;30;30;25;0.5;1;lognormal;Model4;NA;NA;FALSE;5.81;5.24;5.25;5.4;4.88;5.5;8.18;4.73
10000;1000;20;30;30;25;0.5;1;lognormal;Model1;NA;NA;FALSE;5.78;5.3;5.3;5.33;4.58;5.09;8.25;4.57
10000;1000;20;30;30;25;0.75;1;normal;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;20;30;30;25;0.5;1;lognormal;Model6;NA;NA;FALSE;100;99.67;100;100;100;100;100;100
10000;1000;20;30;30;25;0.5;1;mixed;Model3;NA;NA;FALSE;98.79;99.82;100;100;100;100;100;100
10000;1000;20;30;30;25;0.5;1;normal;Model3;NA;NA;FALSE;99.12;99.89;99.97;100;99.98;100;100;100
10000;1000;20;30;30;25;0.5;1;normal;Model7;NA;NA;FALSE;92.99;100;99.74;100;99.59;100;99.97;100
10000;1000;20;30;30;25;0.5;1;mixed;Model7;NA;NA;FALSE;48.17;98.25;89.98;100;87.99;100;96.73;100
10000;1000;20;30;30;25;0.5;1;mixed;Model5;NA;NA;FALSE;59.08;56.99;87.15;83.87;86.01;83.47;92.38;80.04
10000;1000;20;30;30;25;0.5;1;lognormal;Model3;NA;NA;FALSE;100;99.99;100;100;100;100;100;100
10000;1000;20;30;30;25;0.75;1;mixed;Model1;NA;NA;FALSE;5.24;5.64;5.67;6.67;5.53;6.51;11.91;4.86
10000;1000;20;30;30;25;0.5;1;lognormal;Model7;NA;NA;FALSE;96.05;99.78;100;100;99.93;100;100;100
10000;1000;20;30;30;25;0.5;1;normal;Model5;NA;NA;FALSE;58.02;57.3;75.78;79.08;74.98;79.3;82.74;73.96
